company_id,name,estab_year,Employees_counts
98,GoKiwi,2022,10 - 50 employees
99,Lumen Technologies,1968,More than 1000 employees
100,myGate,2016,500 - 1000 employees
101,Noodle.ai,2016,200 - 500 employees
102,Algo8 AI,2018,50 - 200 employees
103,Arthmate,2020,10 - 50 employees
104,DvSum,2014,50 - 200 employees
105,HCL Technologies,1976,More than 1000 employees
106,L&T Technology Services,2009,More than 1000 employees
107,Lumen Solutions,2011,10 - 50 employees
108,Notes & Codes,2015,0 - 10 employees
109,Atlys,2020,10 - 50 employees
110,Fairmatic,2019,50 - 200 employees
111,Jupiter,2019,50 - 200 employees
112,KPIT,1990,More than 1000 employees
113,Mosaic Wellness,2019,10 - 50 employees
114,Outbrain,2006,500 - 1000 employees
115,Testsigma,2017,10 - 50 employees
116,Zoomcar,2012,200 - 500 employees
117,ZoomInfo,2000,More than 1000 employees
118,Crayon Data,2012,50 - 200 employees
119,Cyber Security Co.,2018,10 - 50 employees
120,Kombai,2022,0 - 10 employees
121,Ola,2011,More than 1000 employees
122,VerSe Innovation,2007,500 - 1000 employees
123,WorkOnGrid,2017,10 - 50 employees
124,Zoplar,2022,10 - 50 employees
125,75f.io,2012,50 - 200 employees
126,Arzoo,2006,50 - 200 employees
127,BT,1992,More than 1000 employees
128,GrayMatter Software Services,2006,200 - 500 employees
129,Tech Mahindra,1986,More than 1000 employees
130,Wipro,1945,More than 1000 employees
131,Chegg,2005,500 - 1000 employees
132,DevRev,2020,10 - 50 employees
133,E2open,2000,More than 1000 employees
134,Khoros,2001,500 - 1000 employees
135,Rent An Attire,2015,10 - 50 employees
136,Sequoia Consulting Group,2001,200 - 500 employees
137,Viacom,1971,More than 1000 employees
138,Bright Money,2019,50 - 200 employees
139,Choice,2010,500 - 1000 employees
140,Evolving Systems,1985,200 - 500 employees
141,Finplan Edu,2011,50 - 200 employees
142,LILA Games,2020,0 - 10 employees
143,Recrosoft Technologies,2012,200 - 500 employees
144,TEK Soft Labs,2020,10 - 50 employees
145,Walmart Global Tech India,1962,More than 1000 employees
146,7Vachan,2012,10 - 50 employees
147,Elevate K-12,2015,200 - 500 employees
148,HighLevel,2018,500 - 1000 employees
149,Infraspec,2021,0 - 10 employees
150,Paytm,2000,More than 1000 employees
151,Pluckk,2017,10 - 50 employees
152,AI Palette,2018,0 - 10 employees
153,AST SpaceMobile,2017,50 - 200 employees
154,BankBazaar.com,2008,More than 1000 employees
155,D. E. Shaw,1988,More than 1000 employees
156,DevOn,2004,500 - 1000 employees
157,ENIX Software,2013,50 - 200 employees
158,InMobi,2007,More than 1000 employees
159,Peech India,2014,10 - 50 employees
160,Edureka,2011,200 - 500 employees
161,Growfin.ai,2020,10 - 50 employees
162,Navi Technologies,2019,50 - 200 employees
163,Opsera,2020,10 - 50 employees
164,Predera,2017,50 - 200 employees
165,Teachmint,2020,500 - 1000 employees
166,Unacademy,2015,More than 1000 employees
167,HomeLane,2014,More than 1000 employees
168,Kickdrum,2012,10 - 50 employees
169,Stratogent,2008,200 - 500 employees
170,Tata Consultancy Services,1968,More than 1000 employees
171,Tekion,2016,More than 1000 employees
172,Marketwick,2019,10 - 50 employees
173,Micro Labs,1973,More than 1000 employees
174,Nexthink,2004,500 - 1000 employees
175,Open Financial Technologies,2017,200 - 500 employees
176,Sagarsoft,1996,200 - 500 employees
177,314e Corporation,2004,500 - 1000 employees
178,Celigo,2005,500 - 1000 employees
179,Emint,2022,0 - 10 employees
180,Frankfinn Aviation Services,1993,More than 1000 employees
181,Autonomize AI,2021,10 - 50 employees
182,DotcomWeavers,2007,50 - 200 employees
183,Hopscotch,2012,200 - 500 employees
184,Maidaan,2022,0 - 10 employees
185,TechnoGen,2003,200 - 500 employees
186,Xindus Trade Networks,2022,10 - 50 employees
187,Aphelia Innovations,2018,10 - 50 employees
188,ImSafeNow,2017,0 - 10 employees
189,Mool,2020,10 - 50 employees
190,Prophecy,2017,10 - 50 employees
191,Splore,2023,10 - 50 employees
192,Synaptic,2016,50 - 200 employees
